month,case_study,NDVI_change_90m,EVI_change_90m,region
19,10,-0.515771183,-0.609210577,Mexico
20,10,-0.541121553,-0.610983669,Mexico
21,10,-9999,-9999,Mexico
22,10,-0.322520532,-0.370907045,Mexico
23,10,-0.045503439,-0.119837252,Mexico
24,10,0.201387127,0.334074238,Mexico
25,10,0.17787374,0.356060576,Mexico
1,18,-9999,-9999,Caribbean
2,18,-9999,-9999,Caribbean
3,18,0.127958263,0.110912599,Caribbean
4,18,0.219106405,0.324719191,Caribbean
5,18,0.200117209,0.256389249,Caribbean
6,18,-9999,-9999,Caribbean
7,18,0.156442057,0.141771282,Caribbean
8,18,-9999,-9999,Caribbean
9,18,-0.132193727,-0.153590401,Caribbean
10,18,-9999,-9999,Caribbean
11,18,-0.096114254,-0.186653276,Caribbean
12,18,-9999,-9999,Caribbean
13,18,-9999,-9999,Caribbean
14,18,0.20011721,0.22442847,Caribbean
15,18,-9999,-9999,Caribbean
16,18,-9999,-9999,Caribbean
17,18,-9999,-9999,Caribbean
18,18,-9999,-9999,Caribbean
19,18,-9999,-9999,Caribbean
20,18,-9999,-9999,Caribbean
21,18,0.139351781,0.106504216,Caribbean
22,18,-9999,-9999,Caribbean
23,18,-9999,-9999,Caribbean
24,18,-9999,-9999,Caribbean
25,18,-9999,-9999,Caribbean
1,19,0.238730486,0.302039508,Caribbean
2,19,0.061651872,0.0972341,Caribbean
3,19,0.214136234,0.206173145,Caribbean
4,19,0.240780006,0.290274091,Caribbean
5,19,0.212223348,0.297391442,Caribbean
6,19,0.109200759,0.112049807,Caribbean
7,19,0.172326005,0.137323667,Caribbean
8,19,0.141993095,0.168698113,Caribbean
9,19,0.049354747,0.080675361,Caribbean
10,19,0.01164356,-0.032621249,Caribbean
11,19,0.008364326,0.024898569,Caribbean
12,19,0.036647716,0.017054957,Caribbean
13,19,-9999,-9999,Caribbean
14,19,-9999,-9999,Caribbean
15,19,0.239550294,0.264128719,Caribbean
16,19,0.209217384,0.234061542,Caribbean
17,19,-9999,-9999,Caribbean
18,19,-0.096571148,0.128608543,Caribbean
19,19,0.08583622,0.056273015,Caribbean
20,19,0.056733022,0.051915453,Caribbean
21,19,-0.08017498,-0.111928876,Caribbean
22,19,-0.225690971,-0.201258896,Caribbean
23,19,-0.159696395,-0.251370858,Caribbean
24,19,-0.186750072,-0.243091491,Caribbean
25,19,-9999,-9999,Caribbean
1,20,-9999,-9999,Caribbean
2,20,0.054868401,0.08496848,Caribbean
3,20,0.206378457,0.192689735,Caribbean
4,20,0.232851988,0.275850544,Caribbean
5,20,0.21859701,0.282888333,Caribbean
6,20,0.145692978,0.099618571,Caribbean
7,20,0.164835377,0.124609902,Caribbean
8,20,0.13469628,0.155633623,Caribbean
9,20,0.042649848,0.068594849,Caribbean
10,20,0.005179619,-0.043435256,Caribbean
11,20,0.001921338,0.013441567,Caribbean
12,20,0.03002401,0.005685636,Caribbean
13,20,-9999,-9999,Caribbean
14,20,-9999,-9999,Caribbean
15,20,0.231630133,0.249997443,Caribbean
16,20,0.201491036,0.220266376,Caribbean
17,20,-9999,-9999,Caribbean
18,20,-0.102343647,0.115992202,Caribbean
19,20,0.078898222,0.044465288,Caribbean
20,20,0.04998098,0.040156438,Caribbean
21,20,-0.086052243,-0.121856329,Caribbean
22,20,-0.230638452,-0.210187759,Caribbean
23,20,-0.165065552,-0.259739536,Caribbean
24,20,-0.191946368,-0.25155272,Caribbean
25,20,-0.216383474,-0.265771926,Caribbean
1,21,-0.106410163,-0.177235008,Caribbean
2,21,-0.472476941,-0.477924222,Caribbean
3,21,0.116057249,0.077458669,Caribbean
4,21,0.200505581,0.272477102,Caribbean
5,21,-0.150308415,0.099663411,Caribbean
6,21,0.047109712,0.111999379,Caribbean
7,21,0.05876631,-0.052333335,Caribbean
8,21,-0.046143071,-0.214022626,Caribbean
9,21,0.110104943,0.038864713,Caribbean
10,21,0.162187615,0.222582518,Caribbean
11,21,-9999,-9999,Caribbean
12,21,-9999,-9999,Caribbean
13,21,0.068438806,0.011769641,Caribbean
14,21,-0.501494429,-0.066872154,Caribbean
15,21,0.138973624,0.076136958,Caribbean
16,21,0.13168205,0.10561111,Caribbean
17,21,0.116057249,0.215973964,Caribbean
18,21,0.019332287,-0.097271503,Caribbean
19,21,-0.138403804,-0.236711995,Caribbean
20,21,-0.143612071,-0.284293585,Caribbean
21,21,-0.037214613,-0.090662949,Caribbean
22,21,-0.02739331,-0.187147839,Caribbean
23,21,-0.034982499,-0.241998839,Caribbean
24,21,-9999,-9999,Caribbean
25,21,-9999,-9999,Caribbean
1,22,-0.326819597,-0.328340106,Caribbean
2,22,-0.470859307,-0.477744768,Caribbean
3,22,0.119479606,0.077829027,Caribbean
