N,Authors,Basin,Region,Area,Cyclone_name,Site,Longitude,Latitude,Cyclone_Date,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,recovery_date_start,recovery_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,Cyclone_name,Cyclone_Year,Years_since_last_storm,soil P (mg/kg),MODIS_avail,annual_EVI_pre_250m,sd_annual _EVI_pre_250m,sub-annual_EVI_pre_250m,sd_sub-annual_EVI_pre_250m,EVI_post_250m,sd_post_EVI_250m,change_annual_EVI_250m,change_sub-annual_EVI_250m,annual_NDVI_pre_250m,sd_annual _NDVI_pre_250m,sub-annual_NDVI_pre_250m,sd_sub-annual_NDVI_pre_250m,NDVI_post_250m,sd_post_NDVI_250m,change_annual_NDVI_250m,change_sub-annual_NDVI_250m,annual_LAI_pre_500m,sd_annual _LAI_pre_500m,sub-annual_LAI_pre_500m,sd_sub-annual_LAI_pre_500m,LAI_post_500m,sd_post_LAI_500m,change_annual_LAI_500m,percent_change_annual_LAI_500m,change_sub-annual_LAI_500m,Landsat 5 or 8,N,Longitude,Latitude,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,sd_annual _NDVI_pre_90m,sub-annual_NDVI_pre_90m,sd_sub-annual_NDVI_pre_90m,NDVI_post_90m,sd_post_NDVI_90m,change_annual_NDVI_90m,change_sub-annual_NDVI_90m,NDVI_recovery_avail_90m,annual_EVI_pre_90m,sd_annual _EVI_pre_90m,sub-annual_EVI_pre_90m,sd_sub-annual _EVI_pre_90m,EVI_post_90m,sd_post_EVI_90m,change_annual_EVI_90m,change_sub-annual_EVI_90m,EVI_recovery_avail_90m,annual_kNDVI_pre_90m,sd_annual _kNDVI_pre_90m,sub-annual_kNDVI_pre_90m,sd_sub-annual _kNDVI_pre_90m,kNDVI_post_90m,sd_post_kNDVI_90m,change_annual_kNDVI_90m,change_sub-annual_kNDVI_90m,kNDVI_recovery_avail_90m,change_annual_NDVI_5km,change_sub-annual_NDVI_5km,Pre_Mean_Tot_Litterfall_g/m2/day,Response_Post_Mean_Tot_Litterfall,Subannual_Pre_mean_Tot_Litterfall,Pre_Mean_Leaf_fall,Response_Post_Mean_Leaf_fall,Subannual_Pre_Mean_Leaf_fall,peak_wind_speed_ms,WMO_wind_speed_ms,D2track_km,peak enhanced Fujita scale,peak wind direction (degrees),peak cardinal wind direction,gale wind duration (minutes),hurricane wind duration (minutes)
22,Liu et al,North Atlantic,Caribbean,Puerto Rico,Maria,Guayama,-66.156904,18.0586745,20-Sep-17,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2017-09-21,2019-09-21,2016-09-19,2017-09-19,Maria,2017,0.4,340,Y,5380.217391,1274.058048,3119,788,3805,0,-0.292779506,0.219942289,7678.130435,1799.57776,4755,1853.5,7040,0,-0.083110132,0.480546793,49.79347826,19.31576178,48.25,14.184058,18.25,12.2754837,-0.633486138,-63.3486138,-0.621761658,8,22,-66.156904,18.0586745,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2016-09-19,2017-09-19,X,0.6385,0.21867727,0.438697922,x,-0.345182164,-0.312924163,Y,0.75633517,x,0.732625,0.16375052,0.491116936,x,-0.350662305,-0.329647588,Y,0.435869084,x,0.415,0.16534434,0.190899935,x,-0.562024603,-0.540000157,Y,NA,NA,4.09,1726,4.12,2.62,340.09,3.3,54,59.2,19,6,339,1,5175,1455
23,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Iniki,Halemanu,-159.6713784,22.1462496,11-Sep-92,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1992-09-12,1994-09-12,1984-09-10,1992-09-10,Iniki,1992,9.1,52,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,23,-159.6713784,22.1462496,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1984-09-10,1992-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.229336438,-0.1966,1.73,71.33,NA,1.21,20.67,NA,43,55,4,5,56,2,1875,435
28,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Nanmadol,Kengting III,120.78846,22.155172,4-Dec-04,2003-12-03,2004-12-03,2004-12-05,2004-12-21,2004-12-05,2006-12-05,2003-12-03,2004-12-03,Nanmadol,2004,0.23,87.9,Y,5440.208333,1369.299425,5470,832.77541,6238,0,0.146647264,0.140402194,8532.583333,917.3459415,9049,88.52997,8921,0,0.045521579,-0.014145209,38.51086957,24.84932619,46.875,23.186405,63,4.062019202,0.635901778,63.5901778,0.344,5,28,120.78846,22.155172,2003-12-03,2004-12-03,2004-12-05,2004-12-21,2003-12-03,2004-12-03,X,0.498,0.15,NA,NA,NA,NA,Y,0.593902772,x,0.388,0.197,NA,NA,NA,NA,Y,0.406211235,x,x,x,NA,NA,NA,NA,Y,NA,NA,1.34,2.83,1.43,NA,NA,NA,18,23.1,43,1,152,4,130,0
24,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Mindulle,Kengting III,120.78846,22.155172,1-Jul-04,2003-06-30,2004-06-30,2004-07-02,2004-07-18,2004-07-02,2006-07-02,2003-06-30,2004-06-30,Mindulle,2004,0.91,87.9,Y,5407.086957,1320.663598,6804,443.5,4585,0,-0.15203879,-0.326131687,8389.130435,1061.528197,9002,305,8873,0,0.057678155,-0.014330149,42.61956522,23.81579782,53.142857,19.415962,29.5,27.68122107,-0.307829635,-30.7829635,-0.444892472,5,24,120.78846,22.155172,2003-06-30,2004-06-30,2004-07-02,2004-07-18,2003-06-30,2004-06-30,x,0.688,0.05,0.757308469,x,0.221993053,0.100739054,Y,0.578539242,x,0.6765,0.0585,0.69585513,x,0.202779482,0.028610687,Y,0.373257826,x,0.441,0.055,0.519010609,x,0.390488217,0.176894805,Y,-0.316397229,-0.6689,1.57,3.78,1.43,NA,NA,NA,20,30.9,88,2,351,1,2290,0
26,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Haima,Kengting III,120.78846,22.155172,11-Sep-04,2003-09-10,2004-09-10,2004-09-12,2004-09-28,2004-09-12,2006-09-12,2003-09-10,2004-09-10,Haima,2004,0.19,87.9,Y,5490.565217,1437.835173,7311,83,5991,0,0.091144493,-0.180549856,8516.565217,935.2218907,8837,90.5,9221,0,0.082713484,0.043453661,38.61956522,24.53074486,42,24.877478,33,26.73013281,-0.145510836,-14.5510836,-0.214285714,5,26,120.78846,22.155172,2003-09-10,2004-09-10,2004-09-12,2004-09-28,2003-09-10,2004-09-10,x,0.666,0,NA,NA,NA,NA,Y,0.574195043,x,0.525,0,NA,NA,NA,NA,Y,0.397422347,x,x,x,NA,NA,NA,NA,Y,NA,NA,1.57,2.7,1.43,NA,NA,NA,NA,18,39,NA,NA,NA,NA,NA
29,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Nanmadol,Kengting IV,120.78846,22.155172,4-Dec-04,2003-12-03,2004-12-03,2004-12-05,2004-12-21,2004-12-05,2006-12-05,2003-12-03,2004-12-03,Nanmadol,2004,0.23,70.5,Y,5440.208333,1369.299425,5470,832.77541,6238,0,0.146647264,0.140402194,8532.583333,917.3459415,9049,88.52997,8921,0,0.045521579,-0.014145209,38.51086957,24.84932619,46.875,23.186405,63,4.062019202,0.635901778,63.5901778,0.344,5,29,120.78846,22.155172,2003-12-03,2004-12-03,2004-12-05,2004-12-21,2003-12-03,2004-12-03,x,0.498,0.15,NA,NA,NA,NA,Y,0.593902772,x,0.388,0.197,NA,NA,NA,NA,Y,0.406211235,x,x,x,NA,NA,NA,NA,Y,NA,NA,1.81,3.42,1.8,NA,NA,NA,18,23.1,43,1,152,4,130,0
25,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Mindulle,Kengting IV,120.78846,22.155172,1-Jul-04,2003-06-30,2004-06-30,2004-07-02,2004-07-18,2004-07-02,2006-07-02,2003-06-30,2004-06-30,Mindulle,2004,0.91,70.5,Y,5407.086957,1320.663598,6804,443.5,4585,0,-0.15203879,-0.326131687,8389.130435,1061.528197,9002,305,8873,0,0.057678155,-0.014330149,42.61956522,23.81579782,53.142857,19.415962,29.5,27.68122107,-0.307829635,-30.7829635,-0.444892472,5,25,120.78846,22.155172,2003-06-30,2004-06-30,2004-07-02,2004-07-18,2003-06-30,2004-06-30,x,0.688,0.05,0.757308469,x,0.221993053,0.100739054,Y,0.578539242,x,0.6765,0.0585,0.69585513,x,0.202779482,0.028610687,Y,0.373257826,x,0.441,0.055,0.519010609,x,0.390488217,0.176894805,Y,NA,NA,2.31,6.58,1.8,NA,NA,NA,20,30.9,88,2,351,1,2290,0
27,Liao et al,Northwest Pacific,Taiwan,Southern Taiwan,Haima,Kengting IV,120.78846,22.155172,11-Sep-04,2003-09-10,2004-09-10,2004-09-12,2004-09-28,2004-09-12,2006-09-12,2003-09-10,2004-09-10,Haima,2004,0.19,70.5,Y,5490.565217,1437.835173,7311,83,5991,0,0.091144493,-0.180549856,8516.565217,935.2218907,8837,90.5,9221,0,0.082713484,0.043453661,38.61956522,24.53074486,42,24.877478,33,26.73013281,-0.145510836,-14.5510836,-0.214285714,5,27,120.78846,22.155172,2003-09-10,2004-09-10,2004-09-12,2004-09-28,2003-09-10,2004-09-10,x,0.666,0,NA,NA,NA,NA,Y,0.574195043,x,0.525,0,NA,NA,NA,NA,Y,0.397422347,x,x,x,NA,NA,NA,NA,Y,NA,NA,2.31,2.12,1.8,NA,NA,NA,NA,18,39,NA,NA,NA,NA,NA
30,Herbert et al,Northeast Pacific,Hawaii,Hawaii,Iniki,Kokee,-159.6333333,22.1333333,11-Sep-92,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1992-09-12,1994-09-12,1984-09-10,1992-09-10,Iniki,1992,9.1,220,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,30,-159.6333333,22.1333333,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1984-09-10,1992-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.245079365,-0.21102,1.16,18.87,NA,0.81,6.61,NA,44,55,3,5,65,2,1875,435
31,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Iniki,Kumuwela,-159.6395525,22.1657673,11-Sep-92,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1992-09-12,1994-09-12,1984-09-10,1992-09-10,Iniki,1992,9.1,20,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,31,-159.6395525,22.1657673,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1984-09-10,1992-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.046145494,-0.02117,1.73,124,NA,1.21,24,NA,44,55,3,5,65,2,1875,435
33,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Fungwong,Lienhuachi,120.9,23.9,27-Jul-08,2007-07-26,2008-07-26,2008-07-28,2008-08-13,2008-07-28,2010-07-28,2007-07-26,2008-07-26,Fungwong,2008,0.03,460.9,Y,4637.304348,1336.007369,5728,681,6477,0,0.396716608,0.130761173,7488.478261,1969.379065,8837,127,8468,0,0.130803844,-0.041756252,39.23913043,24.95141782,41.571429,22.276555,27.25,21.82172083,-0.305540166,-30.5540166,-0.344501725,5,33,120.9,23.9,2007-07-26,2008-07-26,2008-07-28,2008-08-13,2007-07-26,2008-07-26,x,0.6614,0.02254418,0.491098999,x,-0.189976449,-0.257485638,Y,0.652976547,x,0.682,0.05125232,0.573721612,x,-0.121374857,-0.158765965,Y,0.360919374,x,0.4118,0.02427674,0.247679132,x,-0.313754955,-0.39854509,Y,NA,NA,5.06,5.82,NA,2.43,2.55,NA,28,33.4,15,3,4,1,880,0
35,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Sinlaku,Lienhuachi,120.9,23.9,13-Sep-08,2007-09-12,2008-09-12,2008-09-14,2008-09-30,2008-09-14,2010-09-14,2007-09-12,2008-09-12,Sinlaku,2008,0.13,460.9,Y,4694.086957,1270.810728,6535,994,4997,0,0.06453077,-0.235348125,7563.043478,1814.39216,9109,314.5,8625,0,0.140413912,-0.053134263,40.98913043,24.72214927,50.25,19.292162,33.75,28.35819987,-0.176610979,-17.6610979,-0.328358209,5,35,120.9,23.9,2007-09-12,2008-09-12,2008-09-14,2008-09-30,2007-09-12,2008-09-12,x,0.655166,0.0467526,0.665345699,x,0.108185083,0.015537587,Y,0.629715823,x,0.67883,0.05076225,0.663036622,x,0.052914025,-0.023265586,Y,0.355592759,x,0.40516,0.05130762,0.420514705,x,0.18257387,0.03789788,y,NA,NA,5.06,11.17,NA,2.43,4.48,NA,31,33.4,133,3,288,7,6040,0
32,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Kalmaegi,Lienhuachi,120.9,23.9,17-Jul-08,2007-07-16,2008-07-16,2008-07-18,2008-08-03,2008-07-18,2010-07-18,2007-07-16,2008-07-16,Kalmaegi,2008,0.94,460.9,Y,4637.304348,1336.007369,5728,681,3161,0,-0.318353991,-0.448149441,7488.478261,1969.379065,8837,127,2975,0,-0.602723024,-0.66334729,39.43010753,24.90040283,45.375,23.048522,36,28.2577423,-0.086992092,-8.6992092,-0.20661157,5,32,120.9,23.9,2007-07-16,2008-07-16,2008-07-18,2008-08-03,2007-07-16,2008-07-16,x,0.666,0.02540866,0.65677262,x,0.061896742,-0.013854925,Y,0.673641004,x,0.6922,0.0389841,0.612745251,x,-0.090397931,-0.114785826,Y,0.373734693,x,0.4168,0.02743283,0.407321163,x,0.089867145,-0.022741931,Y,-0.261891117,-0.09487,5.06,10.89,NA,2.43,3.29,NA,33,25.7,66,4,285,7,1520,50
34,Wang et al,Northwest Pacific,Taiwan,Central Taiwan,Jangmi,Lienhuachi,120.9,23.9,28-Sep-08,2007-09-27,2008-09-27,2008-09-29,2008-10-15,2008-09-29,2010-09-29,2007-09-27,2008-09-27,Jangmi,2008,0.04,460.9,Y,4643.173913,1299.419725,7529,0,4997,0,0.076203496,-0.336299641,7332.956522,1978.543458,9423,0,8625,0,0.176196801,-0.084686406,41.01086957,24.76871035,44.125,26.904635,46.5,25.69533032,0.133845746,13.3845746,0.053824363,5,34,120.9,23.9,2007-09-27,2008-09-27,2008-09-29,2008-10-15,2007-09-27,2008-09-27,x,0.654125,0.04055687,0.637469297,x,0.046820821,-0.025462569,Y,0.633877722,x,0.66225,0.05258505,0.645034605,x,0.017601002,-0.025995311,Y,0.364145308,x,0.403875,0.04451527,0.390874527,x,0.073402618,-0.032189348,Y,NA,NA,5.06,7.83,NA,2.43,3.3,NA,36,38.6,70,4,297,8,2370,280
36,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Iniki,Makaha 1,-159.7174422,22.1278173,11-Sep-92,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1992-09-12,1994-09-12,1984-09-10,1992-09-10,Iniki,1992,9.1,110,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,36,-159.7174422,22.1278173,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1984-09-10,1992-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175641671,0.14342,3.34,40.67,NA,2.34,8.67,NA,43,55,8,5,56,2,1875,435
37,Harrington et al,Northeast Pacific,Hawaii,Hawaii,Iniki,Milolii,-159.7015457,22.1389971,11-Sep-92,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1992-09-12,1994-09-12,1984-09-10,1992-09-10,Iniki,1992,9.1,110,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,37,-159.7015457,22.1389971,1991-09-10,1992-09-10,1992-09-12,1992-09-28,1984-09-10,1992-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175641671,0.14342,2.53,39,NA,1.77,9,NA,43,55,10,5,56,2,1875,435
38,Herbohn & Congdon,Southwest Pacific,Australia,Australia,Charlie,Mt Spec,146.1718421,-18.9967435,29-Feb-88,1987-02-28,1988-02-28,1988-03-01,1988-03-17,1988-03-01,1990-03-01,1979-02-28,1988-02-28,Charlie,1988,10,130,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,38,146.1718421,-18.9967435,1987-02-28,1988-02-28,1988-03-01,1988-03-17,1979-02-28,1988-02-28,x,0.704,0,NA,NA,NA,NA,Y,0.583538962,x,0.587,0,NA,NA,NA,NA,Y,0.437543558,x,x,x,NA,NA,NA,NA,Y,-0.281151281,-0.18633,1.57,10.12,1.56,1.05,2.22,1.02,27,30.9,135,3,248,7,1300,0
40,Liu et al,North Atlantic,Caribbean,Puerto Rico,Irma,Rio Abajo,-66.710583,18.329186,6-Sep-17,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2017-09-07,2019-09-07,2016-09-05,2017-09-05,Irma,2017,2,820,Y,5431.652174,899.1754004,4593,1637,2809,0,-0.482846119,-0.388417157,8438.26087,879.1978171,6800,1931,5809,0,-0.311588005,-0.145735294,47.48913043,22.38132692,50,19.111515,34.75,21.67227492,-0.268253605,-26.8253605,-0.305,8,40,-66.710583,18.329186,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2016-09-05,2017-09-05,x,0.7895,0.0115,NA,NA,NA,NA,Y,0.800314793,x,0.7965,0.0285,NA,NA,NA,NA,Y,0.530018314,x,x,x,NA,NA,NA,NA,Y,-0.38788222,-0.42069,7.05,71.35,13,3.5,32.3,3.29,52,75.6,130,6,255,7,4185,1485
41,Liu et al,North Atlantic,Caribbean,Puerto Rico,Maria,Rio Abajo,-66.710583,18.329186,20-Sep-17,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2017-09-21,2019-09-21,2016-09-19,2017-09-19,Maria,2017,0.04,820,Y,5425.26087,917.093434,4520,1710.5,3733,0,-0.311922488,-0.174115044,8479.130435,719.7135484,7270,1461,5852,0,-0.309834889,-0.195048143,47.33695652,22.30386844,48.25,18.205425,15.5,5.123475383,-0.672560276,-67.2560276,-0.678756477,8,41,-66.710583,18.329186,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2016-09-19,2017-09-19,x,0.801,0,0.59192036,x,-0.22502061,-0.261023271,Y,0.797791204,x,0.825,0,0.581243556,x,-0.271433988,-0.295462356,Y,0.526549125,x,0.566,0,0.33637119,x,-0.361177953,-0.405704611,Y,NA,NA,7.05,2348.92,13,3.5,919.24,3.29,52,54,11,6,340,1,5340,1500
42,NA,North Atlantic,Mexico,Mexico,Gilbert,San Felipe,-86.918582,20.809657,14-Sep-88,1987-09-13,1988-09-13,1988-09-15,1988-10-01,1988-09-15,1990-09-15,1980-09-13,1988-09-13,Gilbert,1988,9,2900,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,42,-86.918582,20.809657,1987-09-13,1988-09-13,1988-09-15,1988-10-01,1980-09-13,1988-09-13,x,x,x,NA,NA,NA,NA,NA,0.509074699,x,0.50306667,0.05842564,NA,NA,NA,NA,NA,0.358103761,x,x,x,NA,NA,NA,NA,Y,-0.140449438,NA,3.83,NA,NA,1.52,NA,NA,58,72,30,6,357,1,2670,1230
43,Lugo et al,North Atlantic,Caribbean,Puerto Rico,Georges,Utuado,-66.7032959,18.268457,21-Sep-98,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1998-09-22,2000-09-22,1997-09-20,1998-09-20,Georges,1998,2,330,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,43,-66.7032959,18.268457,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1997-09-20,1998-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.401034321,-0.39101,3.64,727.9,NA,2.03,160.05,NA,38,47.6,30,4,118,4,2205,555
44,Gleason et al,Southwest Pacific,Australia,Australia,Larry,Wooroonooran Basalt,145.7913456,-17.3530442,20-Mar-06,2005-03-19,2006-03-19,2006-03-21,2006-04-06,2006-03-21,2008-03-21,1998-03-19,2006-03-19,Larry,2006,9,1520,Y,5132.26087,1067.827344,5226,949.08367,2236,0,-0.564324562,-0.572139303,8041.869565,1499.682468,8221,1241.0076,7355,0,-0.085411677,-0.105339983,43.44565217,25.18987207,40.724138,27.396069,16.5,19.44865034,-0.620215161,-62.0215161,-0.594834886,5,44,145.7913456,-17.3530442,2005-03-19,2006-03-19,2006-03-21,2006-04-06,1998-03-19,2006-03-19,x,x,x,NA,NA,NA,NA,Y,0.545935041,x,0.47042857,0.04647536,NA,NA,NA,NA,Y,0.427022679,x,x,x,NA,NA,NA,NA,Y,-0.695845697,-0.67015,1.73,284,NA,NA,NA,NA,38,51.4,25,4,230,6,1230,230
