N,Authors,Basin,Region,Area,Cyclone_name,Site,Longitude,Latitude,Cyclone_Date,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,recovery_date_start,recovery_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,Cyclone_name,Cyclone_Year,Years_since_last_storm,soil P (mg/kg),MODIS_avail,annual_EVI_pre_250m,sd_annual _EVI_pre_250m,sub-annual_EVI_pre_250m,sd_sub-annual_EVI_pre_250m,EVI_post_250m,sd_post_EVI_250m,change_annual_EVI_250m,change_sub-annual_EVI_250m,annual_NDVI_pre_250m,sd_annual _NDVI_pre_250m,sub-annual_NDVI_pre_250m,sd_sub-annual_NDVI_pre_250m,NDVI_post_250m,sd_post_NDVI_250m,change_annual_NDVI_250m,change_sub-annual_NDVI_250m,annual_LAI_pre_500m,sd_annual _LAI_pre_500m,sub-annual_LAI_pre_500m,sd_sub-annual_LAI_pre_500m,LAI_post_500m,sd_post_LAI_500m,change_annual_LAI_500m,percent_change_annual_LAI_500m,change_sub-annual_LAI_500m,Landsat 5 or 8,N,Longitude,Latitude,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,sd_annual _NDVI_pre_90m,sub-annual_NDVI_pre_90m,sd_sub-annual_NDVI_pre_90m,NDVI_post_90m,sd_post_NDVI_90m,change_annual_NDVI_90m,change_sub-annual_NDVI_90m,NDVI_recovery_avail_90m,annual_EVI_pre_90m,sd_annual _EVI_pre_90m,sub-annual_EVI_pre_90m,sd_sub-annual _EVI_pre_90m,EVI_post_90m,sd_post_EVI_90m,change_annual_EVI_90m,change_sub-annual_EVI_90m,EVI_recovery_avail_90m,annual_kNDVI_pre_90m,sd_annual _kNDVI_pre_90m,sub-annual_kNDVI_pre_90m,sd_sub-annual _kNDVI_pre_90m,kNDVI_post_90m,sd_post_kNDVI_90m,change_annual_kNDVI_90m,change_sub-annual_kNDVI_90m,kNDVI_recovery_avail_90m,change_annual_NDVI_5km,change_sub-annual_NDVI_5km,Pre_Mean_Tot_Litterfall_g/m2/day,Response_Post_Mean_Tot_Litterfall,Subannual_Pre_mean_Tot_Litterfall,Pre_Mean_Leaf_fall,Response_Post_Mean_Leaf_fall,Subannual_Pre_Mean_Leaf_fall,peak_wind_speed_ms,WMO_wind_speed_ms,D2track_km,peak enhanced Fujita scale,peak wind direction (degrees),peak cardinal wind direction,gale wind duration (minutes),hurricane wind duration (minutes)
11,Ostertag et al,North Atlantic,Caribbean,Puerto Rico,Georges,Cubuy,-65.8536639,18.2819211,21-Sep-98,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1998-09-22,2000-09-22,1997-09-20,1998-09-20,Georges,1998,2.2,255,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,-65.8536639,18.2819211,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1997-09-20,1998-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.271314387,-0.26148,3.22,868,2.5,NA,NA,NA,37,51.4,38,4,358,1,2355,405
12,Ostertag et al,North Atlantic,Caribbean,Puerto Rico,Georges,East Peak,-65.75,18.266667,21-Sep-98,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1998-09-22,2000-09-22,1997-09-20,1998-09-20,Georges,1998,2.2,260,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,-65.75,18.266667,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1997-09-20,1998-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.310903932,-0.31739,1.41,314,NA,NA,NA,NA,36,51.4,38,4,1,1,2400,420
13,Lodge et al,North Atlantic,Caribbean,Puerto Rico,Hugo,East Peak,-65.75,18.266667,18-Sep-89,1988-09-17,1989-09-17,1989-09-19,1989-10-05,1989-09-19,1991-09-19,1985-09-17,1989-09-17,Hugo,1989,4.9,260,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,-65.75,18.266667,1988-09-17,1989-09-17,1989-09-19,1989-10-05,1985-09-17,1989-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.378258731,-0.45517,0.85,580,NA,NA,NA,NA,46,56.6,15,5,353,1,3780,1395
14,Lodge et al,North Atlantic,Caribbean,Puerto Rico,Hugo,El Verde,-65.8199501,18.321122,18-Sep-89,1988-09-17,1989-09-17,1989-09-19,1989-10-05,1989-09-19,1991-09-19,1985-09-17,1989-09-17,Hugo,1989,4.9,340,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,-65.8199501,18.321122,1988-09-17,1989-09-17,1989-09-19,1989-10-05,1985-09-17,1989-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.345612134,-0.37924,2.31,1006,4.58,1.34,615,1.7,45,56.6,15,5,348,1,3810,1410
17,NA,North Atlantic,Caribbean,Guadeloupe,Luis,Grande-Terre,-61.45,16.45,5-Sep-95,1994-09-04,1995-09-04,1995-09-06,1995-09-22,1995-09-06,1997-09-06,1994-09-04,1995-09-04,Luis,1995,0.04,670,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,17,-61.45,16.45,1994-09-04,1995-09-04,1995-09-06,1995-09-22,1994-09-04,1995-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,1.63,NA,NA,44,62.8,120,5,253,7,4665,1380
16,Imbert & Portecop,North Atlantic,Caribbean,Guadeloupe,Hugo,Grande-Terre,-61.45,16.45,17-Sep-89,1988-09-16,1989-09-16,1989-09-18,1989-10-04,1989-09-18,1991-09-18,1988-09-16,1989-09-16,Hugo,1989,1.1,670,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,16,-61.45,16.45,1988-09-16,1989-09-16,1989-09-18,1989-10-04,1988-09-16,1989-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.515265737,-0.52176,2.2,843,NA,1.63,540,0.99,49,61.7,20,5,153,4,4305,1545
18,Van Bloem et al,North Atlantic,Caribbean,Puerto Rico,Georges,Guanica,-66.8744444,17.9715278,21-Sep-98,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1998-09-22,2000-09-22,1997-09-20,1998-09-20,Georges,1998,2,500,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,-66.8744444,17.9715278,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1997-09-20,1998-09-20,X,0.5495,0.0315,NA,NA,NA,NA,Y,0.453681055,x,0.4915,0.0285,NA,NA,NA,NA,Y,0.273294303,x,x,x,NA,NA,NA,NA,Y,-0.026223092,0.13607,1.31,748.2,NA,1.19,238.7,0.7,38,49.9,20,4,142,4,2130,495
19,Liu et al,North Atlantic,Caribbean,Puerto Rico,Irma,Guanica,-66.8744444,17.9715278,6-Sep-17,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2017-09-07,2019-09-07,2016-09-05,2017-09-05,Irma,2017,2,500,Y,4406.913043,761.4463305,4741,125,5935,0,0.346747699,0.251845602,7589.521739,1013.028214,7801,51.5,8517,0,0.1222051,0.091783105,50.29347826,15.59928792,59.875,6.6226411,42.25,24.20098139,-0.159930841,-15.9930841,-0.294363257,8,19,-66.8744444,17.9715278,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2016-09-05,2017-09-05,X,0.6108,0.0839688,0.722068346,x,0.183915384,0.182168215,Y,0.57371531,x,0.5718,0.07154502,0.691128715,x,0.204654474,0.208689603,Y,0.368040939,x,0.3598,0.08718463,0.478539769,x,0.300235159,0.330016034,Y,-0.144790812,-0.0462,1.29,19.75,1.15,1.04,13.73,0.88,48,75.6,177,5,254,7,4170,1395
20,Liu et al,North Atlantic,Caribbean,Puerto Rico,Maria,Guanica,-66.8744444,17.9715278,20-Sep-17,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2017-09-21,2019-09-21,2016-09-19,2017-09-19,Maria,2017,0.4,500,Y,4464.26087,822.2742173,5401,534.5,4546,0,0.018309667,-0.158304018,7622.913043,1030.24564,8185,332.5,7503,0,-0.015730606,-0.083323152,50.16304348,15.51596455,58.375,6.3823487,40.25,23.27418097,-0.197616468,-19.7616468,-0.310492505,8,20,-66.8744444,17.9715278,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2016-09-19,2017-09-19,X,0.627,0.10081865,0.662614201,x,0.079491556,0.056800959,Y,0.580201187,x,0.6041,0.10026709,0.608294566,x,0.048420065,0.006943496,Y,0.372292553,x,0.3778,0.10629374,0.413317307,x,0.110194936,0.094010871,Y,NA,NA,1.29,780.23,1.15,1.04,223.13,0.88,50,54,58,6,321,8,5430,1680
21,Liu et al,North Atlantic,Caribbean,Puerto Rico,Irma,Guayama,-66.156904,18.0586745,6-Sep-17,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2017-09-07,2019-09-07,2016-09-05,2017-09-05,Irma,2017,2,340,Y,5262.434783,1508.463797,1765,556.5,3907,0,-0.257567996,1.213597734,7476,2137.741718,2430,471,6608,0,-0.116104869,1.719341564,49.94565217,19.33085174,50,14.508618,47.25,9.575359001,-0.053971708,-5.3971708,-0.055,8,21,-66.156904,18.0586745,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2016-09-05,2017-09-05,X,0.6475,0.20763542,0.748896566,x,0.114415255,0.156597013,Y,0.756595147,x,0.7252,0.15490196,0.731946556,x,-0.03257831,0.009303028,Y,0.437835193,x,0.42177,0.15685788,0.509420409,x,0.163498086,0.207815655,Y,-0.261761158,-0.39185,4.09,133.23,4.12,2.62,20.12,3.3,51,77.2,145,6,251,7,4125,1455
